run,direction,final_x_err,final_y_err,pos_err,yaw_err_deg,max_pos_err
1,CW,0.014543939829073302,0.029540246234279085,0.03292646858279133,1.1459357097020058,0.04544980175620119
2,CW,0.024503840988842993,0.05554872005490731,0.06071324833135651,2.001184920117355,0.07577462172717987
3,CW,0.029713375667357336,0.07074617312773457,0.07673268994222017,2.3379034512516803,0.08869782490302584
4,CW,0.027391798095761394,0.07412921247203674,0.07902816424948339,2.3801347612371875,0.09462641668970215
5,CW,0.022632821593437116,0.08081437258778763,0.08392381920550396,2.108401103126672,0.09949254255945275
6,CCW,0.042559177333309106,0.07314018010266199,0.08462133017589528,1.4642112081022123,0.12080654458464019
7,CCW,0.04740427684993426,0.06017882518803652,0.07660715674581241,0.8831064772315468,0.1029622869642973
8,CCW,0.07219520196101117,0.0460721471068187,0.08564338809986172,0.23969293356155913,0.0857781743837242
9,CCW,0.08901060508399147,0.02501495593022955,0.0924588332048897,1.5947949585378776,0.09760616703370145
10,CCW,0.10407142599798869,0.007107667054312457,0.1043138564151944,2.680511134393922,0.12640213984299514
