run,direction,final_x_err,final_y_err,pos_err,yaw_err_deg,max_pos_err
1,CW,-0.1333671644973707,-0.19095233043733434,0.23291542041161134,9.117548263866993,0.23291680823432795
2,CW,-0.19337160695817546,-0.4433766802715032,0.4837100980816566,19.22963812671512,0.48371182716325006
3,CW,-0.15959664815347607,-0.7732114143002204,0.7895105960694712,30.99273619594765,0.7895105960694712
4,CW,-0.027290975579802923,-1.07985092231247,1.0801957284525752,43.08886434263565,1.0801967528110288
5,CW,0.20251521597709474,-1.3502942366660509,1.3653962568704376,55.209777316787054,1.365396869331136
6,CCW,0.5422623680905969,-1.200348624904061,1.3171504459082461,72.63331939737434,3.218647569983218
7,CCW,0.8676760329812531,-1.0525321950951452,1.364069543653068,90.24745418037507,3.5221553957335723
8,CCW,1.120148194799591,-0.8818243757068489,1.425603804674902,108.52658949407461,3.8140754833338195
9,CCW,1.3244831942517008,-0.764518000112776,1.5292951004798345,126.97518257988305,4.09980884630627
10,CCW,1.4582442479133921,-0.6518924111225848,1.597322760825661,145.71108913399428,4.3184032589069705
